Key;region_name;Station;lon;lat;Date;STN_TIME;Twilight;Net_Type;Mesh_Size(um);Net_Mouth_Dia(m);DEPTH_STRT;DEPTH_END;Bottom Depth(m);Volume Filtered(m3);CTD;NOTES;Pi;NumberOfSpecies;SumOfDiversity;ANNE:POLY: >> POLY larvae s1;ANNE:POLY: >> POLY s1;ANNE:POLY: >> POLY s2;ANNE:POLY: >> POLY s3;ARCR:: >> CIRRI s1;ARCR:: >> CRUST larvae s1;ARCR:AMPH:GAMM >> GAMM s1;ARCR:AMPH:GAMM >> GAMM s2;ARCR:AMPH:GAMM >> GAMM s3;ARCR:AMPH:HYPE >> HYPER s1;ARCR:AMPH:HYPE >> HYPER s2;ARCR:AMPH:HYPE >> HYPER s3;ARCR:CLAD: >> CLADO s1;ARCR:COPE: >> COPE other <2mm;ARCR:COPE: >> COPE other >2mm;ARCR:COPE: >> COPEN s1;ARCR:COPE:CALA >> CALA <1mm;ARCR:COPE:CALA >> CALA <3mm≥1mm;ARCR:COPE:CALA >> CALA <5mm≥3mm;ARCR:COPE:CALA >> CALA >5mm;ARCR:DECA:MYSI >> MYSID s1;ARCR:DECA:MYSI >> MYSID s2;ARCR:DECA:MYSI >> MYSID s3;ARCR:DECA:NANT >> CARID s1;ARCR:DECA:NANT >> CARID s2;ARCR:DECA:NANT >> CARID s3;ARCR:DECA:REPA >> DECA s1;ARCR:DECA:REPA >> DECA s2;ARCR:DECA:REPA >> DECA s3;ARCR:EUPH: >> EUPH eggs;ARCR:EUPH: >> EUPH s1;ARCR:EUPH: >> EUPH s2;ARCR:EUPH: >> EUPH s3;ARCR:ISOP: >> ISOPOD s1;ARCR:ISOP: >> ISOPOD s2;ARCR:ISOP: >> ISOPOD s3;ARCR:OSTR: >> OSTRA <3mm;ARCR:OSTR: >> OSTRA >3mm;CHAE:: >> CHAET s1;CHAE:: >> CHAET s2;CHAE:: >> CHAET s3;CHRO:: >> PROTO s1;CHRO:: >> PROTO s2;CNID:ANTH: >> ANTH s1;CNID:ANTH: >> ANTH s2;CNID:HYDR: >> MEDUS s1;CNID:HYDR: >> MEDUS s2;CNID:HYDR: >> MEDUS s3;CNID:HYDR:SIPH >> CALYC s1;CNID:HYDR:SIPH >> CALYC s2;CNID:HYDR:SIPH >> CALYC s3;CNID:HYDR:SIPH >> PHYS float >5mm;CNID:HYDR:SIPH >> PHYS s1;CNID:HYDR:SIPH >> PHYS s2;CNID:HYDR:SIPH >> PHYS s3;CNID:SCYF: >> SCYPH s1;CNID:SCYF: >> SCYPH s2;CNID:SCYF: >> SCYPH s3;CTEN:: >> CTENO s1;CTEN:: >> CTENO s2;CTEN:: >> CTENO s3;ECHI:: >> ECHIN s1;ECTO:: >> BRYOC s1;MOCE:OCTO: >> CEPH s1;MOCE:OCTO: >> CEPH s2;MOCE:OCTO: >> CEPH s3;MOGA:HETE: >> HETERO s1;MOGA:HETE: >> HETERO s2;MOGA:HETE: >> HETERO s3;MOGA:PTER: >> CLIO s1;MOGA:PTER: >> CLIO s2;MOGA:PTER: >> CLIO s3;MOGA:PTER: >> GYMNO s1;MOGA:PTER: >> GYMNO s2;MOGA:PTER: >> GYMNO s3;MOGA:PTER: >> LIM-- s0;MOGA:PTER: >> LIM-- s1;MOGA:PTER: >> LIM-- s2;MOGA:PTER: >> LIM-- s3;MOLL:: >> MOLL s1;UROC:LARV: >> LARVAC s1;UROC:LARV: >> LARVAC s2;UROC:LARV: >> LARVAC s3;UROC:THAL: >> DOLIO s1;UROC:THAL: >> DOLIO s2;UROC:THAL: >> DOLIO s3;UROC:THAL: >> SALP s1;UROC:THAL: >> SALP s2;UROC:THAL: >> SALP s3;VERT:PISC: >> PISCES egg s1;VERT:PISC: >> PISCES s1;VERT:PISC: >> PISCES s2;VERT:PISC: >> PISCES s3;XXXX >> Remainder
IOS1996013004401;Northern Vancouver Island Offshore;LBP7;-128.190;49.870;11 6 1996;0035;Night;Bongo VNH;236;0,56;225;0;2212;73.50;77;Fine silt and sand. ;2;50;1,976;0,09839;0;0,0185;0;0,48762;0;0;0;0;0;0,25578;0,62585;0;0,0774;0;0,00026;0,69269;4,67592;1,80441;0,67156;0;0;0;0;0;0;0;0;0;0,07358;0,11929;1,61632;4,93889;0;0;0;0,3483;0;0,01219;0,17567;1,67205;0;0;0;0;0;0,17796;2,44027;0;0,26329;0,03211;0;0;0;0;0;0;0;0;0,41012;0,28212;0,01463;0;0;0,15238;0;0;0;0;0;0;0;0;0,19048;0;0,5181;0;0;0;0;0,02612;0,11755;0;0;0;0;0;0;0;0;0;0;0;0
IOS1996038000601;Northern Vancouver Island Offshore;LBP8;-128.285;49.809;5 10 1996;0317;Night;Bongo VNH;236;0,56;250;0;2072;59.37;41; ;2;48;2,475;0;0;0;0;0;0;0;0;0;0;1,26663;0;0;0,10511;0;0,00016;0,30177;1,53749;0,55901;0,06064;0;0;0;0;0;1,28685;0;0;0;0,00404;0;0,33687;10,33506;0;0;0;0,30184;0;0;0,58211;7,1046;0,08451;0;0;0;0;1,02409;1,6318;0;0,03975;0,35035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04581;0;0;0;0;0,01078;0,04366;0;0;0;0;0;0;0;0;0;0;1,43507;0
IOS1997002005201;Alaska Basin East;P26;-145.000;50.000;21 2 1997;0003;Night;Bongo VNH;236;0,56;123;0;4250;64.79;52; Flowmeter reading may be incorrect. Calculated value is 31.403 m³.;2;36;2,398;0;0;0,00648;0,10495;0;0;0;0;0;0;0,07254;0;0;0,02392;0;0,00011;0,08111;0,40957;0,17488;0,20003;0;0;0;0;0;0;0;0;0;0;0;0,11477;4,63774;0,00445;0;0;0,03951;0;0;0,01741;0,25627;0,00519;0;0;0;0;0,49853;0;0;0,01821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06297;0;0;0;0;0,01482;0,03667;0;0;0;0;0;0;0;0;0;0;0;0
IOS1997002005301;Alaska Basin East;P26;-145.000;50.000;21 2 1997;0025;Night;Bongo VNH;236;0,56;136;0;4250;77.41;53; Flowmeter reading may be incorrect. Calculated value is 31.403 m³.;2;37;2,317;0;0;0,01963;0;0;0;0;0;0,14727;0;0,28154;0;0;0,05195;0;0,00031;0,08191;1,14577;0,36125;0,04186;0;0;0;0;0;0;0;0;0;0;0;0,04361;3,1861;0;0;0;0,14882;0;0;0,05498;0,24415;0;0;0;0;0;1,16006;0,08319;0;0,03049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07854;0;0;0;0,06614;0,20648;0,05426;0;0;0;0;0;0;0;0;0,30125;0;0
IOS1997002005401;Alaska Basin East;P26;-145.000;50.000;21 2 1997;0055;Night;Bongo VNH;236;0,56;130;0;4250;67.39;54; Flowmeter reading may be incorrect. Calculated value is 31.403 m³.;2;35;2,285;0;0;0,00594;0;0;0;0;0;0,08458;0;0;0;0;0,05937;0;0,00036;0,15466;1,53496;0,32854;0,21635;0;0;0,0831;0;0;0;0;0;0;0,00214;0;0,07298;2,00765;0;0;0;0,26591;0;0;0,01851;0,31162;0,01187;0;0;0;0;0,63808;0,3594;0;0,00876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08072;0;0;0;0;0,11159;0,125;0,06232;0;0;0;0;0;0;0;0;0,34605;0;0
IOS1997002005801;Northern Vancouver Island Offshore;P12;-130.667;48.970;24 2 1997;2310;Night;Bongo VNH;236;0,56;148;0;3200;38.18;58;Samples thick with long, fine spicules - Thalassiothrix ;2;42;2,493;0;0;0,07438;0,89052;0;0;0;0;0;0;0;0;0;0,45947;0;0,00251;0,89379;1,38796;3,28298;0;0;0;0;0;0;0;0;0;0;0;0;0,22106;0;0;0;0;1,60922;0;0,0704;0,29817;1,26767;2,03869;0;0;0;0;0,39811;1,60607;0;0,32635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,83814;0;0;0;0;0,3055;0;0;0,21792;0,19235;0;0;0;0;0;0;0;0;0;0;0;0
PBS1997005000301;Haida Basin;03;-132.512;52.940;14 3 1997;1011;Daylight;Bongo ONH;253;0,58;150;0;860;114.00;; ;3;25;2,087;0;0;0;0;0;0;0;0;0;0;0,01767;0,17;0;0,21726;0;0;0,2995;4,59286;0,00158;0,01421;0;0;0;0;0;0;0;0;0;0,01011;0;0,07404;0,68954;0;0;0;0;0;0;0,02091;0,25965;0,00359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01886;0;0;0;0;0;0;0;0;0;0;0;0;0;2,05193;0;0;0;0,0091;0,04491;0,00379;0;0;0;0;0;0;0;0;0;0;0;0
PBS1997005001201;Dixon Basin;12;-136.145;53.424;15 3 1997;1131;Daylight;Bongo ONH;253;0,58;150;0;2500;319.00;;Sample full of sand and paint chips, scrapped hull. ;3;33;2,344;0;0;0;0;0;0;0;0;0;0;0,07524;0;0;0,09811;0;0;0,35863;4,29142;0,47694;0,06821;0;0;0;0;0;0;0;0;0;0,01625;0;0,02117;0;0;0;0;0,1284;0;0,01124;0,1418;0,16677;0,03916;0;0;0;0;0,04765;0,04038;0;0,01693;0;0;0;0;0;0;0;0;0;0;0;0,00742;0;0;0;0;0;0;0;0;0;0;0;0;0;1,22784;0;0;0;0,00209;0,02007;0,02438;0;0;0;0;0;0;0;0,0321;0;0,29241;0;0
PBS1997005001801;Alaska Basin East;18;-138.791;54.000;16 3 1997;1448;Daylight;Bongo ONH;253;0,58;150;0;2500;163.00;;Sample full of sand and paint chips, scrapped hull. ;3;36;2,332;0;0;0;0,33374;0;0;0;0;0;0;0,07362;0;0;0,15744;0;0;0,6722;5,38385;1,39721;0,56736;0;0;0;0;0;0;0;0;0;0,00707;0;0,03092;0;0,01413;0;0;0,37693;0;0,02199;0,18473;1,14355;0,02466;0;0;0;0;0,74601;0,31607;0;0,06626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,80221;0;0;0;0,00094;0,10994;0,36044;0,03436;0;0;0;0;0;0;0;0;0;1,0454;0
PBS1997005002101;Alaska Basin East;21;-142.134;54.994;17 3 1997;1330;Daylight;Bongo ONH;253;0,58;150;0;2500;105.00;;Large clump of sticky algae. ;3;32;2,485;0;0;0;0;0;0;0;0;0;0;0;0,49981;0;0,26453;0;0;2,19014;13,39731;5,77035;2,21562;0;0;0;0;0;0;0;0;0;0,03291;0;0;0;0,04389;0;0;1,56038;0;0;0,30111;1,92;0,104355;0;0;0;0;1,1581;0,49067;0;0,27429;0;0;0;0;0;0;0;0;0;0;0;0,00829;0,00317;0;0,42667;0;0;0;0;0;0;0;0;0;0;6,21714;0;0;0;0;0,24381;1,51406;0,42667;0;0;0;0;0;0;0;0;0;3,24571;0
PBS1997005002701;Yakutat Basin;27;-146.001;55.610;18 3 1997;1820;Daylight;Bongo ONH;253;0,58;150;0;2500;225.00;; ;3;29;2,505;0;0;0,01493;0,12089;0;0;0;0;0;0,06741;0;0,75235;0;0,03029;0;0;0,33316;2,27727;1,72698;1,17476;0;0;0;0;0;0;0;0;0;0,01152;0;0;0;0,01024;0;0;0,11378;0;0,00398;0,352;1,89867;0,02185;0;0;0;0;0,74311;2,51876;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14222;0,12444;0;0,16924;0;0;0;0,00148;0,07964;0,20736;0;0;0;0;0;0;0;0;0;0;0;0
PBS1997005005601;Aleutian East;56;-152.131;54.204;24 3 1997;1321;Daylight;Bongo ONH;253;0,58;149;0;2500;172.00;; ;3;30;1,897;0;0;0,0286;0,07907;0;0;0;0;0;0;0;0;0;0,00065;0;0;0,0472;1,6308;2,2786;1,01721;0;0;0;0;0;0;0;0;0;0;0;0,0601;1,0221;0,0067;0;0;0,00744;0;0;0,10884;1,72558;0,04147;0;0;0;0;1,45814;0;0;0,06279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17674;0,07907;0;0;0;0;0,00279;0,01005;0;0;0;0;0;0;0,4;0;0;0;0,49535;0
PBS1997005006301;Alaska Basin East;63;-150.950;52.303;25 3 1997;1252;Daylight;Bongo ONH;253;0,58;147;0;2500;181.00;; ;3;26;2,058;0;0;0,0084;0,07514;0;0;0;0;0;0;0;0;0;0,00132;0;0;0,02756;1,33252;1,10586;1,34254;0;0;0;0;0;0;0;0,03978;0;0,00027;0;0;0,25582;0,00477;0;0;0;0;0;0,04972;1,57017;0,01538;0;0;0;0;0,88177;0,07116;0;0,01492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1768;0;0;0,17282;0;0;0;0;0,00177;0,00477;0;0;0;0;0;0;0;0;0;0;0;0
PBS1997005006901;Alaska Basin East;69;-150.263;50.661;26 3 1997;0922;Daylight;Bongo ONH;253;0,58;152;0;2500;184.00;; ;3;31;2,126;0;0;0,01196;0,21087;0;0;0;0;0;0;0;0;0;0,00161;0;0;0,01772;1,14269;0,88652;2,43;0;0;0;0;0;0;0;0;0;0,00104;0;0;0,79105;0,00157;0;0;0,02087;0;0;0,14087;2,39674;0,01581;0;0;0;0;1,89239;0;0;0,02935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2087;0;0;0;0;0;0;0,08696;0;0;0;0;0;0;0;0;0,00939;0;0;0;0;0;0;0,09348;0,00348;0;0;0;0
PBS1997005008101;Alaska Basin East;0101;-141.270;49.567;29 3 1997;0925;Daylight;NorPac VNH;333;0,42;147;0;3600;24.03;;"Intercalibration Sample
Poor preservation, chatognaths, jellies, small copepods all affected. . ";3;32;2,581;0;0;0,0283;0;0,01665;0;0;0;0;0;0,19559;0;0;0,01473;0;0;0,05676;1,99568;2,69313;3,89513;0;0;0;0;0;0;0;0;0;0,0045;0;0,02622;0;0;0;0;0,10653;0;0,00466;0,41198;7,02248;0,03213;0;0;0;0;0;0;0,01142;0,05618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01415;0;0;0;0,00087;0,00499;0;0;0;0;0;0;0;0;0,01332;0;0;0;0
PBS1997005008201;Alaska Basin East;0102;-141.270;49.567;29 3 1997;0941;Daylight;SCOR VNH;333;0,56;150;0;3600;74.50;; ;3;23;2,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00499;0;0;0,05909;1,22545;2,05638;2,13423;0;0;0;0;0;0;0;0;0;0,00032;0;0;0;0;0;0;0,04295;0;0,01203;0,32602;2,46175;0,0086;0;0;0;0;0,0255;0;0;0,07248;0;0;0;0;0;0;0;0;0;0;0;0;0,00042;0;0;0;0;0;0;0;0;0;0,10738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00215;0;0;0;0
PBS1997005008301A;Alaska Basin East;0103;-141.270;49.567;29 3 1997;1002;Daylight;Bongo VNH;253;0,56;150;0;3600;37.81;;Poor condition, full of paint chips. ;3;24;2,179;0;0;0;0;0;0;0;0;0;0;0,22216;0;0;0,15986;0;0;0,24878;2,12515;7,39593;5,9032;0;0;0;0;0;0;0;0;0;0,02031;0;0,06665;2,87247;0;0;0;0,06771;0;0;0,6411;2,07353;0,07279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00423;0;0;0;0;0;0;0;0;0,00846;0;0;0;0
PBS1997005008301B;Alaska Basin East;0103;-141.270;49.567;29 3 1997;1002;Daylight;Bongo VNH;253;0,56;150;0;3600;37.81;;Poor condition, lots of paint chips. ;3;29;2,266;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13504;0;0,00305;0,24866;1,98;1,82439;5,42502;0;0;0;0;0;0;0;0;0;0,00952;0;0;1,03951;0,01523;0;0;0,13541;0;0,01185;0,83407;4,64956;0,05865;0;0;0;0;0,40201;0;0;0,09521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,32372;0;0;0;0;0,00846;0;0;0;0;0;0;0;0;0,00846;0;0;0;0
PBS1997005008401;Alaska Basin East;0204;-141.270;49.567;29 3 1997;1030;Daylight;NorPac VNH;333;0,42;150;0;3600;27.09;; ;3;30;2,588;0;0;0;0;0;0;0;0;0;0;0,69398;0;0;0,01698;0;0;0,17548;1,98182;2,95017;2,96493;0;0;0;0;0;0;0;0;0;0,00266;0;0;0;0;0;0;0,14175;0;0,02067;0,62636;4,40872;0,0437;0;0;0;0,29531;0,14027;0,23773;0,02026;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00154;0;0;0;0;0;0;0;0;0;0;0;0;0,0251;0;0;0;0,00053;0,05316;0;0;0;0;0;0;0;0;0;0;0;0;0
